Team,Rank,Points
Arsenal,1,70
Manchester City,2,64
Manchester United,3,58
Aston Villa,4,55
Liverpool,5,52
Chelsea,6,48
Brentford,7,48
Bournemouth,8,48
Brighton,9,47
Everton,10,47
Sunderland,11,46
Fulham,12,45
Crystal Palace,13,42
Newcastle,14,42
Leeds,15,39
Nottingham Forest,16,33
West Ham,17,32
Tottenham,18,31
Burnley,19,20
Wolves,20,17
Barcelona,1,79
Real Madrid,2,70
Villarreal,3,61
Atletico Madrid,4,57
Real Betis,5,46
Celta Vigo,6,44
Real Sociedad,7,42
Getafe,8,41
Osasuna,9,39
Espanyol,10,38
Athletic Club,11,38
Girona,12,38
Rayo Vallecano,13,35
Valencia,14,35
Mallorca,15,34
Sevilla,16,34
Alaves,17,33
Elche,18,32
Levante,19,29
Oviedo,20,27
Inter,1,78
Napoli,2,66
AC Milan,3,63
Juventus,4,60
Como,5,58
AS Roma,6,58
Atalanta,7,54
Bologna,8,48
Lazio,9,47
Sassuolo,10,45
Udinese,11,43
Torino,12,39
Parma,13,39
Genoa,14,36
Fiorentina,15,35
Cagliari,16,33
Cremonese,17,27
Lecce,18,27
Hellas Verona,19,18
Pisa,20,18
Bayern München,1,76
Borussia Dortmund,2,64
RB Leipzig,3,59
VfB Stuttgart,4,56
1899 Hoffenheim,5,54
Bayer Leverkusen,6,52
Eintracht Frankfurt,7,42
SC Freiburg,8,40
FC Augsburg,9,36
FSV Mainz 05,10,33
Union Berlin,11,32
1. FC Köln,12,31
Hamburger SV,13,31
Werder Bremen,14,31
Borussia Mönchengladbach,15,30
FC St. Pauli,16,26
VfL Wolfsburg,17,24
1. FC Heidenheim,18,19
Paris Saint Germain,1,63
Lens,2,62
Lille,3,54
Marseille,4,52
Lyon,5,51
Rennes,6,50
Monaco,7,49
Strasbourg,8,43
Lorient,9,41
Toulouse,10,37
Stade Brestois 29,11,36
Paris FC,12,35
Angers,13,34
Le Havre,14,30
Nice,15,29
Auxerre,16,24
Nantes,17,19
Metz,18,15
